,CDU2KEROFL
2015-10-16 7:00,65
2015-10-17 14:00,62
2015-10-18 7:00,64
2015-10-19 7:00,62
2015-10-20 7:00,64
2015-10-21 14:00,63
2015-10-22 7:00,65
2015-10-23 7:00,63
2015-10-23 9:00,62
2015-10-23 10:00,61
2015-10-23 14:00,41
2015-10-24 7:00,43
2015-10-25 7:00,43.5
2015-10-26 7:00,45
2015-10-26 14:00,45.5
2015-10-27 7:00,45
2015-10-27 16:00,46
2015-10-27 18:00,41
2015-10-28 7:00,46.5
2015-10-29 7:00,42.5
2015-10-30 7:00,42
2015-10-31 7:00,40
2015-11-01 7:00,39.5
2015-11-02 17:00,39.5
2015-11-03 7:00,39
2015-11-04 7:00,43.5
2015-11-04 21:00,50
2015-11-05 14:00,51
2015-11-05 14:30,58.5
2015-11-05 14:30,60
2015-11-06 7:00,52
2015-11-06 10:00,51
2015-11-07 7:00,52
2015-11-08 7:00,51
2015-11-08 14:00,49
2015-11-08 18:00,45.5
2015-11-09 7:00,44.5
2015-11-09 14:00,41.5
2015-11-10 7:00,35.5
2015-11-11 7:00,36
2015-11-12 7:00,33.5
2015-11-12 22:00,33.5
2015-11-13 7:00,32.5
2015-11-14 2:00,42
2015-11-14 7:00,44
2015-11-15 7:00,44.5
2015-11-16 17:00,43
2015-11-17 7:00,43
2015-11-17 14:00,36
2015-11-18 7:00,36
2015-11-19 7:00,36
2015-11-19 22:00,39
2015-11-20 7:00,36.5
2015-11-21 7:00,39
2015-11-21 11:00,46
2015-11-21 14:00,52
2015-11-22 7:00,51.5
2015-11-23 14:00,66
2015-11-23 18:00,64
2015-11-24 7:00,64
2015-11-25 7:00,65
2015-11-26 7:00,64
2015-11-27 7:00,65
2015-11-28 7:00,63
2015-11-29 7:00,64
2015-11-30 7:00,63
2015-11-30 22:00,64
2015-12-01 7:00,63
2015-12-02 7:00,61
2015-12-03 7:00,63
2015-12-04 7:00,65
2015-12-04 13:00,63
2015-12-05 7:00,67
2015-12-06 7:00,64
2015-12-07 7:00,66
2015-12-07 9:00,42
2015-12-07 22:00,38.5
2015-12-08 7:00,37.5
2015-12-09 7:00,41.5
2015-12-10 7:00,40.5
2015-12-11 14:00,38
2015-12-12 7:00,40
2015-12-13 7:00,39
2015-12-14 7:00,40.5
2015-12-15 14:00,37
2015-12-16 7:00,39.5
2015-12-17 7:00,39.5
2015-12-17 22:00,41
2015-12-18 7:00,40.5
2015-12-19 7:00,43
2015-12-19 10:30,49
2015-12-19 14:00,49.5
2015-12-19 18:00,54.5
2015-12-20 7:00,52
2015-12-21 14:00,71
2015-12-21 18:00,65
2015-12-22 7:00,63
2015-12-23 7:00,65
2015-12-24 7:00,64
2015-12-25 5:30,62
2015-12-26 7:00,62
2015-12-27 7:00,65
2015-12-28 7:00,62
2015-12-28 19:00,68
2015-12-29 7:00,63
2015-12-30 7:00,65
2015-12-31 14:00,65
2016-01-01 7:00,60
2016-01-02 16:30,67
2016-01-03 7:00,43.5
2016-01-04 7:00,40
2016-01-04 22:00,41
2016-01-05 7:00,42
2016-01-06 7:00,39
2016-01-07 7:00,40
